Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/1_basic_cnn,Global,1875.0,0.5035688055688978,0.5035688055688978,,,0.46566948436237177
CNN/1_basic_cnn,Building,359.0,0.7214484679665738,0.6744791666666666,0.9175461741424802,0.6971736204576042,
CNN/1_basic_cnn,Small car,332.0,0.7981927710843374,0.6294536817102138,0.8988982501620221,0.7038512616201859,
CNN/1_basic_cnn,Truck,221.0,0.1493212669683258,0.22758620689655173,0.932285368802902,0.18032786885245902,
CNN/1_basic_cnn,Bus,177.0,0.480225988700565,0.2777777777777778,0.8698468786808009,0.35196687370600416,
CNN/1_basic_cnn,Shipping container,152.0,0.618421052631579,0.46766169154228854,0.9378990133488102,0.5325779036827195,
CNN/1_basic_cnn,Storage tank,147.0,0.23129251700680273,0.6415094339622641,0.9890046296296297,0.34,
CNN/1_basic_cnn,Dump truck,124.0,0.16129032258064516,0.38461538461538464,0.981724728726442,0.22727272727272727,
CNN/1_basic_cnn,Motorboat,107.0,0.45794392523364486,0.494949494949495,0.9717194570135747,0.47572815533980584,
CNN/1_basic_cnn,Excavator,79.0,0.6075949367088608,0.5217391304347826,0.9755011135857461,0.5614035087719298,
CNN/1_basic_cnn,Fishing vessel,71.0,0.09859154929577464,0.3333333333333333,0.9922394678492239,0.15217391304347824,
CNN/1_basic_cnn,Cargo plane,64.0,0.84375,0.8709677419354839,0.9955825510767532,0.8571428571428571,
CNN/1_basic_cnn,Pylon,31.0,0.6129032258064516,0.59375,0.9929501084598699,0.6031746031746031,
CNN/1_basic_cnn,Helipad,11.0,0.2727272727272727,0.42857142857142855,0.9978540772532188,0.33333333333333326,
