Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/2_data_augmentation,Global,1875.0,0.5358004524682909,0.5358004524682909,,,0.4370394904911231
CNN/2_data_augmentation,Building,359.0,0.7325905292479109,0.5896860986547086,0.8792875989445911,0.653416149068323,
CNN/2_data_augmentation,Small car,332.0,0.7771084337349398,0.57847533632287,0.8781594296824368,0.6632390745501285,
CNN/2_data_augmentation,Truck,221.0,0.20361990950226244,0.2542372881355932,0.9201934703748489,0.22613065326633167,
CNN/2_data_augmentation,Bus,177.0,0.3559322033898305,0.38650306748466257,0.9411071849234394,0.37058823529411766,
CNN/2_data_augmentation,Shipping container,152.0,0.6118421052631579,0.35361216730038025,0.9013348810214742,0.44819277108433736,
CNN/2_data_augmentation,Storage tank,147.0,0.3129251700680272,0.40707964601769914,0.9612268518518519,0.3538461538461538,
CNN/2_data_augmentation,Dump truck,124.0,0.0967741935483871,0.3870967741935484,0.989149057681325,0.15483870967741933,
CNN/2_data_augmentation,Motorboat,107.0,0.38317757009345793,0.6119402985074627,0.9852941176470589,0.47126436781609193,
CNN/2_data_augmentation,Excavator,79.0,0.4430379746835443,0.5555555555555556,0.9844097995545658,0.4929577464788733,
CNN/2_data_augmentation,Fishing vessel,71.0,0.16901408450704225,0.5217391304347826,0.9939024390243902,0.2553191489361702,
CNN/2_data_augmentation,Cargo plane,64.0,0.8125,0.9285714285714286,0.9977912755383765,0.8666666666666666,
CNN/2_data_augmentation,Pylon,31.0,0.41935483870967744,0.5909090909090909,0.995119305856833,0.4905660377358491,
CNN/2_data_augmentation,Helipad,11.0,0.36363636363636365,0.8,0.9994635193133047,0.5000000000000001,
