Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/3_classification_layer,Global,1875.0,0.5215127488874018,0.5215127488874018,,,0.4521438029465602
CNN/3_classification_layer,Building,359.0,0.8133704735376045,0.5626204238921002,0.850263852242744,0.6651480637813213,
CNN/3_classification_layer,Small car,332.0,0.8283132530120482,0.5169172932330827,0.8334413480233311,0.6365740740740741,
CNN/3_classification_layer,Truck,221.0,0.06334841628959276,0.27450980392156865,0.9776299879081015,0.10294117647058823,
CNN/3_classification_layer,Bus,177.0,0.288135593220339,0.4015748031496063,0.9552414605418139,0.3355263157894737,
CNN/3_classification_layer,Shipping container,152.0,0.4473684210526316,0.35233160621761656,0.9274521183981428,0.3942028985507246,
CNN/3_classification_layer,Storage tank,147.0,0.24489795918367346,0.4044943820224719,0.9693287037037037,0.3050847457627119,
CNN/3_classification_layer,Dump truck,124.0,0.23387096774193547,0.4461538461538462,0.9794403198172473,0.3068783068783069,
CNN/3_classification_layer,Motorboat,107.0,0.5233644859813084,0.5333333333333333,0.9722850678733032,0.5283018867924527,
CNN/3_classification_layer,Excavator,79.0,0.5316455696202531,0.5833333333333334,0.9832962138084632,0.5562913907284769,
CNN/3_classification_layer,Fishing vessel,71.0,0.4507042253521127,0.7272727272727273,0.9933481152993349,0.5565217391304348,
CNN/3_classification_layer,Cargo plane,64.0,0.734375,0.9215686274509803,0.9977912755383765,0.8173913043478261,
CNN/3_classification_layer,Pylon,31.0,0.3548387096774194,0.6111111111111112,0.9962039045553145,0.4489795918367347,
CNN/3_classification_layer,Helipad,11.0,0.36363636363636365,0.4444444444444444,0.9973175965665236,0.39999999999999997,
