Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/4_reescaling,Global,1875.0,0.6596567743112374,0.6596567743112374,,,0.6322195878572004
CNN/4_reescaling,Building,359.0,0.8467966573816156,0.7396593673965937,0.929419525065963,0.7896103896103895,
CNN/4_reescaling,Small car,332.0,0.8885542168674698,0.6316916488222698,0.8885288399222294,0.7384230287859825,
CNN/4_reescaling,Truck,221.0,0.2398190045248869,0.33974358974358976,0.937726723095526,0.28116710875331563,
CNN/4_reescaling,Bus,177.0,0.384180790960452,0.544,0.9664310954063604,0.4503311258278146,
CNN/4_reescaling,Shipping container,152.0,0.5197368421052632,0.7383177570093458,0.983749274521184,0.61003861003861,
CNN/4_reescaling,Storage tank,147.0,0.54421768707483,0.6299212598425197,0.9728009259259259,0.5839416058394161,
CNN/4_reescaling,Dump truck,124.0,0.46774193548387094,0.48333333333333334,0.9645916619074815,0.4754098360655738,
CNN/4_reescaling,Motorboat,107.0,0.6915887850467289,0.7184466019417476,0.9835972850678733,0.7047619047619048,
CNN/4_reescaling,Excavator,79.0,0.7721518987341772,0.6224489795918368,0.9793986636971047,0.6892655367231638,
CNN/4_reescaling,Fishing vessel,71.0,0.7183098591549296,0.85,0.9950110864745011,0.7786259541984734,
CNN/4_reescaling,Cargo plane,64.0,0.890625,0.9193548387096774,0.9972390944229708,0.9047619047619047,
CNN/4_reescaling,Pylon,31.0,0.7096774193548387,0.7586206896551724,0.9962039045553145,0.7333333333333333,
CNN/4_reescaling,Helipad,11.0,0.5454545454545454,0.6,0.9978540772532188,0.5714285714285713,
