Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/5_dropout_07,Global,1875.0,0.7269473728550925,0.7269473728550925,,,0.6606276766761044
CNN/5_dropout_07,Building,359.0,0.8690807799442897,0.7410926365795725,0.9281002638522428,0.7999999999999999,
CNN/5_dropout_07,Small car,332.0,0.891566265060241,0.7081339712918661,0.9209332469215813,0.7893333333333333,
CNN/5_dropout_07,Truck,221.0,0.3167420814479638,0.4166666666666667,0.9407496977025392,0.35989717223650386,
CNN/5_dropout_07,Bus,177.0,0.5084745762711864,0.5421686746987951,0.9552414605418139,0.5247813411078717,
CNN/5_dropout_07,Shipping container,152.0,0.6644736842105263,0.643312101910828,0.967498549042368,0.6537216828478964,
CNN/5_dropout_07,Storage tank,147.0,0.5374149659863946,0.8586956521739131,0.9924768518518519,0.6610878661087867,
CNN/5_dropout_07,Dump truck,124.0,0.4838709677419355,0.5607476635514018,0.9731581953169617,0.5194805194805194,
CNN/5_dropout_07,Motorboat,107.0,0.5981308411214953,0.7619047619047619,0.9886877828054299,0.6701570680628272,
CNN/5_dropout_07,Excavator,79.0,0.7974683544303798,0.6702127659574468,0.982739420935412,0.7283236994219654,
CNN/5_dropout_07,Fishing vessel,71.0,0.7605633802816901,0.72,0.988359201773836,0.7397260273972602,
CNN/5_dropout_07,Cargo plane,64.0,0.9375,0.9523809523809523,0.9983434566537824,0.9448818897637795,
CNN/5_dropout_07,Pylon,31.0,0.6774193548387096,0.875,0.9983731019522777,0.7636363636363636,
CNN/5_dropout_07,Helipad,11.0,0.5454545454545454,1.0,1.0,0.7058823529411764,
