Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/6_batch_normalization_convolutional,Global,1875.0,0.510904056428183,0.55687659822851,,,0.5690666666666667
CNN/6_batch_normalization_convolutional,Building,359.0,0.8690807799442897,0.5591397849462365,0.837730870712401,0.6804798255179934,
CNN/6_batch_normalization_convolutional,Small car,332.0,0.75,0.7323529411764705,0.9410239792611795,0.7410714285714285,
CNN/6_batch_normalization_convolutional,Truck,221.0,0.14479638009049775,0.26666666666666666,0.9467956469165659,0.18768328445747803,
CNN/6_batch_normalization_convolutional,Bus,177.0,0.3163841807909605,0.5714285714285714,0.9752650176678446,0.4072727272727273,
CNN/6_batch_normalization_convolutional,Shipping container,152.0,0.6644736842105263,0.46543778801843316,0.9326755658734764,0.5474254742547426,
CNN/6_batch_normalization_convolutional,Storage tank,147.0,0.1360544217687075,0.38461538461538464,0.9814814814814815,0.20100502512562818,
CNN/6_batch_normalization_convolutional,Dump truck,124.0,0.5483870967741935,0.3617021276595745,0.9314677327241576,0.43589743589743596,
CNN/6_batch_normalization_convolutional,Motorboat,107.0,0.6728971962616822,0.7272727272727273,0.9847285067873304,0.6990291262135923,
CNN/6_batch_normalization_convolutional,Excavator,79.0,0.620253164556962,0.6282051282051282,0.9838530066815144,0.6242038216560509,
CNN/6_batch_normalization_convolutional,Fishing vessel,71.0,0.4647887323943662,0.75,0.9939024390243902,0.5739130434782608,
CNN/6_batch_normalization_convolutional,Cargo plane,64.0,0.90625,0.9830508474576272,0.9994478188845941,0.943089430894309,
CNN/6_batch_normalization_convolutional,Pylon,31.0,0.5483870967741935,0.8095238095238095,0.9978308026030369,0.6538461538461537,
CNN/6_batch_normalization_convolutional,Helipad,11.0,0.0,0.0,0.9994635193133047,0.0,
