Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
CNN/CNN_best_model_execution_trace,Global,1875.0,0.712651621334364,0.712651621334364,,,0.6727610120037167
CNN/CNN_best_model_execution_trace,Building,359.0,0.8746518105849582,0.7733990147783252,0.9393139841688655,0.8209150326797385,
CNN/CNN_best_model_execution_trace,Small car,332.0,0.9186746987951807,0.6354166666666666,0.8865845755022683,0.7512315270935961,
CNN/CNN_best_model_execution_trace,Truck,221.0,0.19457013574660634,0.3739130434782609,0.9564691656590084,0.25595238095238093,
CNN/CNN_best_model_execution_trace,Bus,177.0,0.3954802259887006,0.5555555555555556,0.967020023557126,0.4620462046204621,
CNN/CNN_best_model_execution_trace,Shipping container,152.0,0.5592105263157895,0.7142857142857143,0.9802669762042948,0.6273062730627307,
CNN/CNN_best_model_execution_trace,Storage tank,147.0,0.5782312925170068,0.7327586206896551,0.9820601851851852,0.6463878326996197,
CNN/CNN_best_model_execution_trace,Dump truck,124.0,0.532258064516129,0.4748201438848921,0.9583095374071959,0.5019011406844107,
CNN/CNN_best_model_execution_trace,Motorboat,107.0,0.7663551401869159,0.640625,0.9739819004524887,0.6978723404255319,
CNN/CNN_best_model_execution_trace,Excavator,79.0,0.7848101265822784,0.6888888888888889,0.9844097995545658,0.7337278106508875,
CNN/CNN_best_model_execution_trace,Fishing vessel,71.0,0.7183098591549296,0.9107142857142857,0.9972283813747228,0.8031496062992126,
CNN/CNN_best_model_execution_trace,Cargo plane,64.0,0.921875,0.9365079365079365,0.9977912755383765,0.9291338582677166,
CNN/CNN_best_model_execution_trace,Pylon,31.0,0.7741935483870968,0.8275862068965517,0.9972885032537961,0.7999999999999999,
CNN/CNN_best_model_execution_trace,Helipad,11.0,0.7272727272727273,1.0,1.0,0.8421052631578948,
