Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/01_vgg16_without_tl,Global,1875.0,0.6885126140979698,0.6885126140979698,,,0.5855281670709651
TL/01_vgg16_without_tl,Building,359.0,0.8189415041782729,0.7443037974683544,0.933377308707124,0.779840848806366,
TL/01_vgg16_without_tl,Small car,332.0,0.9066265060240963,0.6935483870967742,0.9138042773817239,0.7859007832898173,
TL/01_vgg16_without_tl,Truck,221.0,0.27149321266968324,0.3508771929824561,0.9328899637243047,0.30612244897959184,
TL/01_vgg16_without_tl,Bus,177.0,0.4971751412429379,0.5146198830409356,0.9511189634864546,0.5057471264367815,
TL/01_vgg16_without_tl,Shipping container,152.0,0.5592105263157895,0.6854838709677419,0.9773650609402206,0.6159420289855073,
TL/01_vgg16_without_tl,Storage tank,147.0,0.6802721088435374,0.7092198581560284,0.9762731481481481,0.6944444444444444,
TL/01_vgg16_without_tl,Dump truck,124.0,0.45161290322580644,0.5436893203883495,0.9731581953169617,0.49339207048458145,
TL/01_vgg16_without_tl,Motorboat,107.0,0.616822429906542,0.6407766990291263,0.9790723981900452,0.6285714285714286,
TL/01_vgg16_without_tl,Excavator,79.0,0.6329113924050633,0.6172839506172839,0.982739420935412,0.6250000000000001,
TL/01_vgg16_without_tl,Fishing vessel,71.0,0.647887323943662,0.6571428571428571,0.9866962305986696,0.6524822695035462,
TL/01_vgg16_without_tl,Cargo plane,64.0,0.921875,0.9516129032258065,0.9983434566537824,0.9365079365079365,
TL/01_vgg16_without_tl,Pylon,31.0,0.5161290322580645,0.8421052631578947,0.9983731019522777,0.6399999999999999,
TL/01_vgg16_without_tl,Helipad,11.0,0.09090909090909091,1.0,1.0,0.16666666666666669,
