Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/02_resnet50_replica,Global,1875.0,0.6901746425536357,0.6901746425536357,,,0.6408477887091644
TL/02_resnet50_replica,Building,359.0,0.8746518105849582,0.8418230563002681,0.9610817941952506,0.8579234972677596,
TL/02_resnet50_replica,Small car,332.0,0.9156626506024096,0.6909090909090909,0.9118600129617628,0.7875647668393783,
TL/02_resnet50_replica,Truck,221.0,0.3438914027149321,0.3568075117370892,0.9171704957678356,0.3502304147465438,
TL/02_resnet50_replica,Bus,177.0,0.4971751412429379,0.704,0.9782096584216725,0.5827814569536424,
TL/02_resnet50_replica,Shipping container,152.0,0.7828947368421053,0.672316384180791,0.9663377829367382,0.723404255319149,
TL/02_resnet50_replica,Storage tank,147.0,0.7755102040816326,0.8321167883211679,0.9866898148148148,0.8028169014084506,
TL/02_resnet50_replica,Dump truck,124.0,0.4838709677419355,0.631578947368421,0.9800114220445459,0.547945205479452,
TL/02_resnet50_replica,Motorboat,107.0,0.6822429906542056,0.7849462365591398,0.9886877828054299,0.73,
TL/02_resnet50_replica,Excavator,79.0,0.7848101265822784,0.7209302325581395,0.9866369710467706,0.7515151515151515,
TL/02_resnet50_replica,Fishing vessel,71.0,0.6056338028169014,0.7543859649122807,0.9922394678492239,0.671875,
TL/02_resnet50_replica,Cargo plane,64.0,0.875,0.9824561403508771,0.9994478188845941,0.9256198347107438,
TL/02_resnet50_replica,Pylon,31.0,0.7096774193548387,1.0,1.0,0.8301886792452831,
TL/02_resnet50_replica,Helipad,11.0,0.0,0.0,1.0,0.0,
