Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/03_xception_without_tl,Global,1875.0,0.6715894274516685,0.6715894274516685,,,0.6360474454050686
TL/03_xception_without_tl,Building,359.0,0.8857938718662952,0.7718446601941747,0.9379947229551451,0.8249027237354086,
TL/03_xception_without_tl,Small car,332.0,0.891566265060241,0.7254901960784313,0.9274141283214518,0.7999999999999999,
TL/03_xception_without_tl,Truck,221.0,0.3167420814479638,0.35175879396984927,0.9220072551390568,0.33333333333333337,
TL/03_xception_without_tl,Bus,177.0,0.4180790960451977,0.6166666666666667,0.9729093050647821,0.4983164983164983,
TL/03_xception_without_tl,Shipping container,152.0,0.7039473684210527,0.6948051948051948,0.9727219965177016,0.6993464052287581,
TL/03_xception_without_tl,Storage tank,147.0,0.7006802721088435,0.8046875,0.9855324074074074,0.749090909090909,
TL/03_xception_without_tl,Dump truck,124.0,0.5806451612903226,0.5333333333333333,0.9640205596801827,0.555984555984556,
TL/03_xception_without_tl,Motorboat,107.0,0.6822429906542056,0.8795180722891566,0.994343891402715,0.7684210526315789,
TL/03_xception_without_tl,Excavator,79.0,0.7974683544303798,0.7325581395348837,0.9871937639198218,0.7636363636363637,
TL/03_xception_without_tl,Fishing vessel,71.0,0.6901408450704225,0.7,0.988359201773836,0.6950354609929078,
TL/03_xception_without_tl,Cargo plane,64.0,0.859375,1.0,1.0,0.9243697478991597,
TL/03_xception_without_tl,Pylon,31.0,0.7419354838709677,0.92,0.9989154013015185,0.8214285714285714,
TL/03_xception_without_tl,Helipad,11.0,0.0,0.0,1.0,0.0,
