Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/05_inceptionv3_without_tl,Global,1875.0,0.5550447967151769,0.5550447967151769,,,0.4192044597258846
TL/05_inceptionv3_without_tl,Building,359.0,0.7103064066852368,0.7223796033994334,0.9353562005277045,0.7162921348314607,
TL/05_inceptionv3_without_tl,Small car,332.0,0.9668674698795181,0.43912448700410395,0.7342838626053143,0.6039510818438382,
TL/05_inceptionv3_without_tl,Truck,221.0,0.1583710407239819,0.24647887323943662,0.9353083434099153,0.1928374655647383,
TL/05_inceptionv3_without_tl,Bus,177.0,0.22033898305084745,0.4588235294117647,0.9729093050647821,0.29770992366412213,
TL/05_inceptionv3_without_tl,Shipping container,152.0,0.5723684210526315,0.4371859296482412,0.934997098084736,0.49572649572649563,
TL/05_inceptionv3_without_tl,Storage tank,147.0,0.25170068027210885,0.7708333333333334,0.9936342592592593,0.3794871794871795,
TL/05_inceptionv3_without_tl,Dump truck,124.0,0.14516129032258066,0.28125,0.9737292975442604,0.1914893617021277,
TL/05_inceptionv3_without_tl,Motorboat,107.0,0.4953271028037383,0.5824175824175825,0.9785067873303167,0.5353535353535354,
TL/05_inceptionv3_without_tl,Excavator,79.0,0.5949367088607594,0.5802469135802469,0.9810690423162584,0.5874999999999999,
TL/05_inceptionv3_without_tl,Fishing vessel,71.0,0.19718309859154928,0.7368421052631579,0.9972283813747228,0.31111111111111106,
TL/05_inceptionv3_without_tl,Cargo plane,64.0,0.75,0.96,0.9988956377691883,0.8421052631578947,
TL/05_inceptionv3_without_tl,Pylon,31.0,0.3870967741935484,1.0,1.0,0.5581395348837209,
TL/05_inceptionv3_without_tl,Helipad,11.0,0.0,0.0,1.0,0.0,
