Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/07_efficientnetv2_tl_more_training,Global,1875.0,0.8128484744176294,0.8128484744176294,,,0.7713030042818227
TL/07_efficientnetv2_tl_more_training,Building,359.0,0.924791086350975,0.8405063291139241,0.9584432717678101,0.8806366047745359,
TL/07_efficientnetv2_tl_more_training,Small car,332.0,0.9156626506024096,0.7543424317617866,0.9358392741412832,0.8272108843537415,
TL/07_efficientnetv2_tl_more_training,Truck,221.0,0.34841628959276016,0.425414364640884,0.9371221281741233,0.3830845771144279,
TL/07_efficientnetv2_tl_more_training,Bus,177.0,0.5480225988700564,0.6298701298701299,0.9664310954063604,0.5861027190332326,
TL/07_efficientnetv2_tl_more_training,Shipping container,152.0,0.7894736842105263,0.7142857142857143,0.9721416134648868,0.7500000000000001,
TL/07_efficientnetv2_tl_more_training,Storage tank,147.0,0.8571428571428571,0.9402985074626866,0.9953703703703703,0.896797153024911,
TL/07_efficientnetv2_tl_more_training,Dump truck,124.0,0.5806451612903226,0.6728971962616822,0.9800114220445459,0.6233766233766234,
TL/07_efficientnetv2_tl_more_training,Motorboat,107.0,0.7570093457943925,0.8526315789473684,0.9920814479638009,0.8019801980198019,
TL/07_efficientnetv2_tl_more_training,Excavator,79.0,0.9113924050632911,0.8780487804878049,0.9944320712694877,0.8944099378881988,
TL/07_efficientnetv2_tl_more_training,Fishing vessel,71.0,0.704225352112676,0.9090909090909091,0.9972283813747228,0.7936507936507936,
TL/07_efficientnetv2_tl_more_training,Cargo plane,64.0,0.96875,0.9841269841269841,0.9994478188845941,0.9763779527559054,
TL/07_efficientnetv2_tl_more_training,Pylon,31.0,0.9032258064516129,0.9655172413793104,0.9994577006507592,0.9333333333333333,
TL/07_efficientnetv2_tl_more_training,Helipad,11.0,0.8181818181818182,1.0,1.0,0.9,
