Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/1_efficientnetV2B0,Global,1875.0,0.8158772968171136,0.8158772968171136,,,0.7934727842811172
TL/1_efficientnetV2B0,Building,359.0,0.9136490250696379,0.9085872576177285,0.9782321899736148,0.9111111111111111,
TL/1_efficientnetV2B0,Small car,332.0,0.9006024096385542,0.7569620253164557,0.9377835385612443,0.8225584594222833,
TL/1_efficientnetV2B0,Truck,221.0,0.3891402714932127,0.4365482233502538,0.9328899637243047,0.4114832535885168,
TL/1_efficientnetV2B0,Bus,177.0,0.576271186440678,0.6891891891891891,0.9729093050647821,0.6276923076923077,
TL/1_efficientnetV2B0,Shipping container,152.0,0.8026315789473685,0.7439024390243902,0.975623911781776,0.7721518987341772,
TL/1_efficientnetV2B0,Storage tank,147.0,0.8843537414965986,0.8843537414965986,0.9901620370370371,0.8843537414965986,
TL/1_efficientnetV2B0,Dump truck,124.0,0.6693548387096774,0.6859504132231405,0.9782981153626499,0.6775510204081633,
TL/1_efficientnetV2B0,Motorboat,107.0,0.7476635514018691,0.7692307692307693,0.9864253393665159,0.7582938388625592,
TL/1_efficientnetV2B0,Excavator,79.0,0.8227848101265823,0.8904109589041096,0.9955456570155902,0.855263157894737,
TL/1_efficientnetV2B0,Fishing vessel,71.0,0.7464788732394366,0.8412698412698413,0.9944567627494457,0.791044776119403,
TL/1_efficientnetV2B0,Cargo plane,64.0,0.953125,1.0,1.0,0.976,
TL/1_efficientnetV2B0,Pylon,31.0,1.0,1.0,1.0,1.0,
TL/1_efficientnetV2B0,Helipad,11.0,0.9090909090909091,1.0,1.0,0.9523809523809523,
