Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/1_inceptionV3,Global,1875.0,0.8008246987189005,0.8008246987189005,,,0.7527039860954775
TL/1_inceptionV3,Building,359.0,0.8885793871866295,0.8763736263736264,0.9703166226912929,0.8824343015214385,
TL/1_inceptionV3,Small car,332.0,0.9006024096385542,0.7222222222222222,0.9254698639014906,0.8016085790884718,
TL/1_inceptionV3,Truck,221.0,0.40271493212669685,0.5,0.9461910519951633,0.4461152882205514,
TL/1_inceptionV3,Bus,177.0,0.5819209039548022,0.5953757225433526,0.9587750294464076,0.5885714285714285,
TL/1_inceptionV3,Shipping container,152.0,0.756578947368421,0.7467532467532467,0.9773650609402206,0.7516339869281046,
TL/1_inceptionV3,Storage tank,147.0,0.8707482993197279,0.920863309352518,0.9936342592592593,0.8951048951048951,
TL/1_inceptionV3,Dump truck,124.0,0.6290322580645161,0.639344262295082,0.9748715019988577,0.6341463414634146,
TL/1_inceptionV3,Motorboat,107.0,0.7009345794392523,0.8152173913043478,0.9903846153846154,0.7537688442211056,
TL/1_inceptionV3,Excavator,79.0,0.8227848101265823,0.8227848101265823,0.9922048997772829,0.8227848101265823,
TL/1_inceptionV3,Fishing vessel,71.0,0.7746478873239436,0.8088235294117647,0.9927937915742794,0.7913669064748201,
TL/1_inceptionV3,Cargo plane,64.0,0.890625,1.0,1.0,0.9421487603305785,
TL/1_inceptionV3,Pylon,31.0,0.8387096774193549,0.9629629629629629,0.9994577006507592,0.896551724137931,
TL/1_inceptionV3,Helipad,11.0,0.7272727272727273,1.0,1.0,0.8421052631578948,
