Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/1_resnet50,Global,1875.0,0.7734381054463036,0.7734381054463036,,,0.707986095865041
TL/1_resnet50,Building,359.0,0.8802228412256268,0.8610354223433242,0.966358839050132,0.8705234159779615,
TL/1_resnet50,Small car,332.0,0.8945783132530121,0.7538071065989848,0.9371354504212573,0.8181818181818181,
TL/1_resnet50,Truck,221.0,0.4072398190045249,0.35714285714285715,0.9020556227327691,0.3805496828752643,
TL/1_resnet50,Bus,177.0,0.5028248587570622,0.6054421768707483,0.9658421672555948,0.5493827160493826,
TL/1_resnet50,Shipping container,152.0,0.756578947368421,0.696969696969697,0.9709808473592572,0.7255520504731862,
TL/1_resnet50,Storage tank,147.0,0.8027210884353742,0.921875,0.9942129629629629,0.8581818181818183,
TL/1_resnet50,Dump truck,124.0,0.532258064516129,0.66,0.9805825242718447,0.5892857142857142,
TL/1_resnet50,Motorboat,107.0,0.7383177570093458,0.7821782178217822,0.9875565610859729,0.7596153846153846,
TL/1_resnet50,Excavator,79.0,0.7848101265822784,0.8493150684931506,0.9938752783964365,0.8157894736842105,
TL/1_resnet50,Fishing vessel,71.0,0.6197183098591549,0.7719298245614035,0.9927937915742794,0.6875,
TL/1_resnet50,Cargo plane,64.0,0.90625,1.0,1.0,0.9508196721311475,
TL/1_resnet50,Pylon,31.0,0.7419354838709677,0.92,0.9989154013015185,0.8214285714285714,
TL/1_resnet50,Helipad,11.0,0.6363636363636364,0.875,0.9994635193133047,0.7368421052631579,
