Experiment,Category,Size,Recall,Precision,Specificity,F1 Score,Accuracy
TL/1_xception,Global,1875.0,0.8147974765498999,0.8147974765498999,,,0.7745656512422887
TL/1_xception,Building,359.0,0.9164345403899722,0.8680738786279684,0.9670184696569921,0.8915989159891599,
TL/1_xception,Small car,332.0,0.8975903614457831,0.7700258397932817,0.9423201555411536,0.8289290681502086,
TL/1_xception,Truck,221.0,0.42081447963800905,0.4744897959183674,0.937726723095526,0.4460431654676259,
TL/1_xception,Bus,177.0,0.5536723163841808,0.6490066225165563,0.9687868080094229,0.5975609756097562,
TL/1_xception,Shipping container,152.0,0.7960526315789473,0.8066666666666666,0.9831688914683692,0.8013245033112583,
TL/1_xception,Storage tank,147.0,0.8707482993197279,0.920863309352518,0.9936342592592593,0.8951048951048951,
TL/1_xception,Dump truck,124.0,0.6290322580645161,0.6290322580645161,0.9737292975442604,0.6290322580645161,
TL/1_xception,Motorboat,107.0,0.822429906542056,0.7521367521367521,0.9835972850678733,0.7857142857142856,
TL/1_xception,Excavator,79.0,0.8481012658227848,0.9054054054054054,0.9961024498886414,0.8758169934640523,
TL/1_xception,Fishing vessel,71.0,0.7464788732394366,0.8833333333333333,0.996119733924612,0.8091603053435115,
TL/1_xception,Cargo plane,64.0,0.9375,1.0,1.0,0.967741935483871,
TL/1_xception,Pylon,31.0,0.9032258064516129,0.9333333333333333,0.9989154013015185,0.9180327868852459,
TL/1_xception,Helipad,11.0,0.7272727272727273,1.0,1.0,0.8421052631578948,
