epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.081,2.16058,1.99199,1.36321,0.26665,0.30833,0.22196,0.095,1.95174,1.50377,1.28056,0.00041611,0.00041611,0.00041611
2,231.777,2.01954,1.50555,1.30379,0.34431,0.33677,0.28621,0.12304,1.9375,1.47063,1.29903,0.000816287,0.000816287,0.000816287
3,340.046,1.99263,1.45204,1.29613,0.28851,0.38833,0.29518,0.12848,1.91483,1.38464,1.28894,0.00119997,0.00119997,0.00119997
4,447.214,1.97199,1.43815,1.29168,0.32586,0.3542,0.29319,0.12605,1.91196,1.38263,1.27886,0.00117575,0.00117575,0.00117575
5,554.202,1.95418,1.39027,1.28358,0.29798,0.40637,0.31134,0.1364,1.85444,1.35744,1.2508,0.001151,0.001151,0.001151
6,669.441,1.93762,1.36805,1.27479,0.36083,0.40616,0.34121,0.15213,1.84421,1.31276,1.25126,0.00112625,0.00112625,0.00112625
7,778.294,1.93357,1.35371,1.27256,0.32893,0.40054,0.32026,0.13996,1.87088,1.32382,1.27741,0.0011015,0.0011015,0.0011015
8,884.186,1.92166,1.3452,1.2686,0.33715,0.43218,0.35214,0.15854,1.83066,1.27421,1.24795,0.00107675,0.00107675,0.00107675
9,991.061,1.9158,1.33304,1.26896,0.36657,0.41597,0.35144,0.15839,1.82835,1.28639,1.24457,0.001052,0.001052,0.001052
10,1096.06,1.90659,1.31895,1.26243,0.41276,0.34915,0.3266,0.14179,1.85471,1.31986,1.25426,0.00102725,0.00102725,0.00102725
11,1202.78,1.90176,1.31398,1.25577,0.34586,0.44226,0.35948,0.16175,1.81353,1.26193,1.24844,0.0010025,0.0010025,0.0010025
12,1307.53,1.90007,1.30109,1.2561,0.35576,0.44943,0.36603,0.16719,1.81579,1.24964,1.23866,0.00097775,0.00097775,0.00097775
13,1414.14,1.89576,1.29926,1.25573,0.39696,0.42672,0.37764,0.17209,1.80756,1.24075,1.24441,0.000953,0.000953,0.000953
14,1519.95,1.88181,1.28803,1.2478,0.36861,0.4655,0.37451,0.16841,1.81963,1.25133,1.25706,0.00092825,0.00092825,0.00092825
15,1627.05,1.87787,1.28177,1.24757,0.37957,0.44496,0.37002,0.16661,1.81371,1.27412,1.24009,0.0009035,0.0009035,0.0009035
16,1731.09,1.86676,1.26612,1.24351,0.42776,0.41692,0.3792,0.17382,1.79741,1.25361,1.22388,0.00087875,0.00087875,0.00087875
17,1837.44,1.86488,1.26308,1.24165,0.40019,0.4519,0.38214,0.17532,1.80256,1.26435,1.23287,0.000854,0.000854,0.000854
18,1942.36,1.86852,1.25862,1.23855,0.37933,0.46346,0.38481,0.17687,1.79199,1.22141,1.23588,0.00082925,0.00082925,0.00082925
19,2048.33,1.85855,1.25177,1.2381,0.37618,0.46545,0.38222,0.17312,1.8016,1.2189,1.23474,0.0008045,0.0008045,0.0008045
20,2151.5,1.8534,1.2499,1.23554,0.39423,0.4717,0.38938,0.17933,1.79136,1.20758,1.2312,0.00077975,0.00077975,0.00077975
21,2256.46,1.84654,1.24343,1.23692,0.38377,0.46902,0.39599,0.18304,1.78454,1.20359,1.23198,0.000755,0.000755,0.000755
