epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.264,1.99334,1.64202,1.36122,0.35134,0.36043,0.30844,0.13326,1.82937,1.40853,1.2831,0.000415556,0.000415556,0.000415556
2,292.917,1.92182,1.35631,1.30296,0.59293,0.34039,0.32208,0.13985,1.84296,1.32377,1.29854,0.000823983,0.000823983,0.000823983
3,439.464,1.91859,1.33915,1.29112,0.62352,0.32774,0.31861,0.13668,1.85656,1.30801,1.3077,0.00122416,0.00122416,0.00122416
4,592.959,1.89212,1.32063,1.28545,0.37933,0.37809,0.34209,0.14901,1.8335,1.29295,1.27264,0.00121287,0.00121287,0.00121287
5,755.168,1.88297,1.29447,1.27734,0.38256,0.37675,0.33348,0.14522,1.82029,1.30207,1.28017,0.0012005,0.0012005,0.0012005
6,905.59,1.86576,1.28666,1.26966,0.38087,0.39149,0.34565,0.15234,1.79615,1.25953,1.25874,0.00118812,0.00118812,0.00118812
7,1057.23,1.85158,1.25146,1.26627,0.37788,0.4067,0.35288,0.15681,1.77995,1.25664,1.26382,0.00117575,0.00117575,0.00117575
8,1207.91,1.8483,1.24885,1.26016,0.38673,0.43126,0.37032,0.16539,1.77104,1.20518,1.25514,0.00116337,0.00116337,0.00116337
9,1365.65,1.8257,1.22663,1.25734,0.40031,0.43178,0.3776,0.17077,1.75904,1.18946,1.25437,0.001151,0.001151,0.001151
10,1525.1,1.81969,1.217,1.25223,0.38613,0.42625,0.37372,0.16798,1.75203,1.20027,1.24211,0.00113863,0.00113863,0.00113863
11,1674.93,1.8126,1.20107,1.24342,0.38801,0.43879,0.38671,0.17494,1.7533,1.19026,1.24458,0.00112625,0.00112625,0.00112625
12,1826.82,1.80962,1.19948,1.2445,0.36564,0.45125,0.37965,0.17244,1.74082,1.16886,1.24853,0.00111388,0.00111388,0.00111388
13,1976.18,1.79685,1.19799,1.24018,0.4473,0.45308,0.40645,0.18599,1.72848,1.1784,1.24049,0.0011015,0.0011015,0.0011015
14,2137.96,1.78883,1.17752,1.23557,0.40042,0.45507,0.39406,0.17827,1.73802,1.18223,1.24543,0.00108913,0.00108913,0.00108913
15,2287.49,1.78593,1.1742,1.23459,0.42849,0.44587,0.40009,0.18414,1.71294,1.15976,1.23241,0.00107675,0.00107675,0.00107675
16,2437.9,1.78807,1.17427,1.23303,0.41184,0.45588,0.39667,0.18122,1.71555,1.16811,1.23267,0.00106437,0.00106437,0.00106437
17,2588.72,1.77833,1.16329,1.22903,0.43683,0.44075,0.39934,0.18058,1.72883,1.16134,1.2545,0.001052,0.001052,0.001052
18,2731.93,1.78111,1.16166,1.23663,0.41235,0.46407,0.40583,0.18596,1.71399,1.15145,1.23875,0.00103962,0.00103962,0.00103962
19,2882.73,1.77232,1.15021,1.22521,0.43109,0.45839,0.41354,0.19306,1.71329,1.1328,1.23045,0.00102725,0.00102725,0.00102725
20,3030.13,1.76361,1.14608,1.22246,0.44761,0.43544,0.40542,0.18735,1.7025,1.14665,1.2219,0.00101488,0.00101488,0.00101488
21,3180.5,1.7597,1.14162,1.22263,0.40178,0.46106,0.39822,0.18237,1.71656,1.14928,1.23705,0.0010025,0.0010025,0.0010025
22,3331.41,1.75226,1.13617,1.22181,0.41904,0.4623,0.41371,0.19039,1.71354,1.1332,1.23008,0.000990125,0.000990125,0.000990125
23,3482.26,1.75289,1.1302,1.22157,0.4934,0.44566,0.42404,0.19566,1.69955,1.13236,1.23386,0.00097775,0.00097775,0.00097775
24,3635.01,1.75375,1.13478,1.21874,0.43222,0.48526,0.42902,0.20041,1.69541,1.12457,1.22122,0.000965375,0.000965375,0.000965375
25,3790.03,1.73596,1.11942,1.21194,0.43824,0.46489,0.42451,0.20025,1.70038,1.11966,1.2277,0.000953,0.000953,0.000953
26,3940.91,1.74115,1.12364,1.21943,0.44628,0.47281,0.42474,0.19738,1.69863,1.10771,1.23102,0.000940625,0.000940625,0.000940625
27,4102.03,1.735,1.1175,1.21477,0.40307,0.49607,0.4229,0.19741,1.6969,1.1166,1.22035,0.00092825,0.00092825,0.00092825
